,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
82,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 3세트,DRX Pyosik,신 짜오,승,1,1,5
83,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 2세트,DRX Pyosik,비에고,승,1,4,7
84,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 1세트,DRX Pyosik,리 신,패,0,4,0
85,22.03.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 36일차 1경기 2세트,DRX Pyosik,리 신,승,3,0,6
86,22.03.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 36일차 1경기 1세트,DRX Pyosik,비에고,승,4,3,8
87,22.03.06,2022 LoL 챔피언스 코리아 스프링 정규 시즌 35일차 1경기 2세트,DRX Pyosik,헤카림,승,3,1,7
88,22.03.06,2022 LoL 챔피언스 코리아 스프링 정규 시즌 35일차 1경기 1세트,DRX Pyosik,헤카림,승,5,0,15
89,22.03.04,2022 LoL 챔피언스 코리아 스프링 정규 시즌 33일차 1경기 2세트,DRX Pyosik,헤카림,승,3,1,11
90,22.03.04,2022 LoL 챔피언스 코리아 스프링 정규 시즌 33일차 1경기 1세트,DRX Pyosik,신 짜오,승,3,2,10
91,22.02.27,2022 LoL 챔피언스 코리아 스프링 정규 시즌 30일차 1경기 2세트,DRX Pyosik,리 신,패,3,2,6
92,22.02.27,2022 LoL 챔피언스 코리아 스프링 정규 시즌 30일차 1경기 1세트,DRX Pyosik,신 짜오,패,2,2,2
93,22.02.24,2022 LoL 챔피언스 코리아 스프링 정규 시즌 27일차 1경기 3세트,DRX Pyosik,리 신,승,3,3,8
94,22.02.24,2022 LoL 챔피언스 코리아 스프링 정규 시즌 27일차 1경기 2세트,DRX Pyosik,헤카림,패,1,5,4
95,22.02.24,2022 LoL 챔피언스 코리아 스프링 정규 시즌 27일차 1경기 1세트,DRX Pyosik,리 신,승,2,1,7
96,22.02.19,2022 LoL 챔피언스 코리아 스프링 정규 시즌 24일차 1경기 2세트,DRX Pyosik,리 신,패,0,3,3
97,22.02.19,2022 LoL 챔피언스 코리아 스프링 정규 시즌 24일차 1경기 1세트,DRX Pyosik,리 신,패,1,4,3
98,22.02.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 22일차 2경기 3세트,DRX Pyosik,리 신,승,2,2,6
99,22.02.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 22일차 2경기 2세트,DRX Pyosik,리 신,승,2,1,3
100,22.02.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 22일차 2경기 1세트,DRX Pyosik,신 짜오,패,1,3,1
101,22.02.11,2022 LoL 챔피언스 코리아 스프링 정규 시즌 18일차 2경기 3세트,DRX Pyosik,리 신,승,1,4,7
102,22.02.11,2022 LoL 챔피언스 코리아 스프링 정규 시즌 18일차 2경기 2세트,DRX Pyosik,다이애나,패,0,6,5
103,22.02.11,2022 LoL 챔피언스 코리아 스프링 정규 시즌 18일차 2경기 1세트,DRX Pyosik,비에고,승,2,1,7
104,22.02.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 16일차 2경기 3세트,DRX Pyosik,신 짜오,승,0,1,5
105,22.02.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 16일차 2경기 2세트,DRX Pyosik,리 신,패,3,3,6
106,22.01.29,2022 LoL 챔피언스 코리아 스프링 정규 시즌 14일차 2경기 2세트,DRX Pyosik,자르반 4세,승,1,3,12
107,22.01.29,2022 LoL 챔피언스 코리아 스프링 정규 시즌 14일차 2경기 1세트,DRX Pyosik,자르반 4세,승,0,3,12
108,22.01.26,2022 LoL 챔피언스 코리아 스프링 정규 시즌 11일차 2경기 1세트,DRX Pyosik,뽀삐,승,0,1,5
109,22.01.26,2022 LoL 챔피언스 코리아 스프링 정규 시즌 11일차 2경기 2세트,DRX Pyosik,리 신,승,2,0,8
110,22.01.23,2022 LoL 챔피언스 코리아 스프링 정규 시즌 10일차 2경기 1세트,DRX Pyosik,비에고,승,3,1,2
111,22.01.23,2022 LoL 챔피언스 코리아 스프링 정규 시즌 10일차 2경기 2세트,DRX Pyosik,신 짜오,승,7,1,7
112,22.01.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 7일차 1경기 2세트,DRX Pyosik,자르반 4세,패,3,3,5
113,22.01.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 7일차 1경기 1세트,DRX Pyosik,신 짜오,패,5,5,2
114,22.01.14,2022 LoL 챔피언스 코리아 스프링 정규 시즌 3일차 1경기 2세트,DRX Pyosik,신 짜오,패,3,5,2
115,22.01.14,2022 LoL 챔피언스 코리아 스프링 정규 시즌 3일차 1경기 1세트,DRX Pyosik,신 짜오,패,0,3,1
116,22.01.12,2022 LoL 챔피언스 코리아 스프링 정규 시즌 1일차 1경기 2세트,DRX Pyosik,자르반 4세,패,3,3,3
117,22.01.12,2022 LoL 챔피언스 코리아 스프링 정규 시즌 1일차 1경기 1세트,DRX Pyosik,비에고,패,1,3,2
