,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
74,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 2세트,DRX Kingen,갱플랭크,승,2,0,9
75,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 2세트,DRX Kingen,갱플랭크,승,2,0,9
76,22.06.26,2022 LoL 챔피언스 코리아 서머 정규 시즌 10일 차 2경기 2세트,DRX Kingen,오른,승,0,0,8
77,22.06.26,2022 LoL 챔피언스 코리아 서머 정규 시즌 10일 차 2경기 1세트,DRX Kingen,세주아니,승,1,2,13
78,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 3세트,DRX Kingen,갱플랭크,승,6,2,1
79,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 2세트,DRX Kingen,올라프,패,1,4,8
80,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 1세트,DRX Kingen,오른,승,0,0,11
81,22.06.18,2022 LoL 챔피언스 코리아 서머 정규 시즌 4일 차 2경기 1세트,DRX Kingen,나르,승,1,1,4
82,22.06.18,2022 LoL 챔피언스 코리아 서머 정규 시즌 4일 차 2경기 2세트,DRX Kingen,오른,승,1,0,7
83,22.06.15,2022 LoL 챔피언스 코리아 서머 정규 시즌 1일 차 2경기 2세트,DRX Kingen,오른,승,0,1,12
84,22.06.15,2022 LoL 챔피언스 코리아 서머 정규 시즌 1일 차 2경기 1세트,DRX Kingen,케일,승,2,3,12
85,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 5세트,DRX Kingen,카밀,패,1,4,3
86,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 4세트,DRX Kingen,그라가스,승,1,1,10
87,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 3세트,DRX Kingen,아트록스,패,1,2,2
88,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 2세트,DRX Kingen,제이스,승,2,2,9
89,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 1세트,DRX Kingen,제이스,패,0,3,5
90,22.03.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 45일차 2경기 2세트,DRX Kingen,나르,패,0,6,1
91,22.03.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 45일차 2경기 1세트,DRX Kingen,사이온,패,1,3,1
92,22.03.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 42일차 1경기 2세트,DRX Kingen,트린다미어,패,0,4,1
93,22.03.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 42일차 1경기 1세트,DRX Kingen,트린다미어,패,0,3,1
94,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 3세트,DRX Kingen,트린다미어,승,4,4,1
95,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 2세트,DRX Kingen,사이온,승,2,1,6
96,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 1세트,DRX Kingen,그레이브즈,패,0,2,0
97,22.03.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 36일차 1경기 2세트,DRX Kingen,그웬,승,2,1,4
98,22.03.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 36일차 1경기 1세트,DRX Kingen,그웬,승,1,3,9
99,22.03.06,2022 LoL 챔피언스 코리아 스프링 정규 시즌 35일차 1경기 2세트,DRX Kingen,갱플랭크,승,4,1,5
100,22.03.06,2022 LoL 챔피언스 코리아 스프링 정규 시즌 35일차 1경기 1세트,DRX Kingen,아칼리,승,6,0,7
101,22.03.04,2022 LoL 챔피언스 코리아 스프링 정규 시즌 33일차 1경기 2세트,DRX Kingen,그웬,승,4,1,6
102,22.03.04,2022 LoL 챔피언스 코리아 스프링 정규 시즌 33일차 1경기 1세트,DRX Kingen,제이스,승,3,3,10
103,22.02.27,2022 LoL 챔피언스 코리아 스프링 정규 시즌 30일차 1경기 2세트,DRX Kingen,그라가스,패,0,3,2
104,22.02.27,2022 LoL 챔피언스 코리아 스프링 정규 시즌 30일차 1경기 1세트,DRX Kingen,그웬,패,1,4,3
105,22.02.24,2022 LoL 챔피언스 코리아 스프링 정규 시즌 27일차 1경기 3세트,DRX Kingen,나르,승,1,1,6
106,22.02.24,2022 LoL 챔피언스 코리아 스프링 정규 시즌 27일차 1경기 2세트,DRX Kingen,제이스,패,2,1,2
107,22.02.24,2022 LoL 챔피언스 코리아 스프링 정규 시즌 27일차 1경기 1세트,DRX Kingen,그웬,승,3,0,5
108,22.02.19,2022 LoL 챔피언스 코리아 스프링 정규 시즌 24일차 1경기 2세트,DRX Kingen,제이스,패,2,1,0
109,22.02.19,2022 LoL 챔피언스 코리아 스프링 정규 시즌 24일차 1경기 1세트,DRX Kingen,그웬,패,2,4,0
110,22.02.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 22일차 2경기 3세트,DRX Kingen,제이스,승,4,1,5
111,22.02.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 22일차 2경기 2세트,DRX Kingen,그웬,승,0,3,2
112,22.02.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 22일차 2경기 1세트,DRX Kingen,그웬,패,2,0,0
113,22.02.11,2022 LoL 챔피언스 코리아 스프링 정규 시즌 18일차 2경기 3세트,DRX Kingen,그라가스,승,0,2,11
114,22.02.11,2022 LoL 챔피언스 코리아 스프링 정규 시즌 18일차 2경기 2세트,DRX Kingen,아칼리,패,0,1,2
115,22.02.11,2022 LoL 챔피언스 코리아 스프링 정규 시즌 18일차 2경기 1세트,DRX Kingen,그웬,승,4,2,5
116,22.02.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 16일차 2경기 3세트,DRX Kingen,제이스,승,3,1,5
117,22.02.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 16일차 2경기 2세트,DRX Kingen,그웬,패,3,2,4
118,22.01.29,2022 LoL 챔피언스 코리아 스프링 정규 시즌 14일차 2경기 2세트,DRX Kingen,제이스,승,3,4,3
119,22.01.29,2022 LoL 챔피언스 코리아 스프링 정규 시즌 14일차 2경기 1세트,DRX Kingen,아크샨,승,5,1,5
120,22.01.26,2022 LoL 챔피언스 코리아 스프링 정규 시즌 11일차 2경기 1세트,DRX Kingen,갱플랭크,승,7,0,5
121,22.01.26,2022 LoL 챔피언스 코리아 스프링 정규 시즌 11일차 2경기 2세트,DRX Kingen,제이스,승,2,1,7
122,22.01.23,2022 LoL 챔피언스 코리아 스프링 정규 시즌 10일차 2경기 1세트,DRX Kingen,나르,승,0,2,7
123,22.01.23,2022 LoL 챔피언스 코리아 스프링 정규 시즌 10일차 2경기 2세트,DRX Kingen,그라가스,승,1,4,10
124,22.01.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 7일차 1경기 2세트,DRX Kingen,카밀,패,2,3,0
125,22.01.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 7일차 1경기 1세트,DRX Kingen,그웬,패,4,3,2
126,22.01.14,2022 LoL 챔피언스 코리아 스프링 정규 시즌 3일차 1경기 2세트,DRX Kingen,그웬,패,0,5,3
127,22.01.14,2022 LoL 챔피언스 코리아 스프링 정규 시즌 3일차 1경기 1세트,DRX Kingen,그라가스,패,0,5,1
128,22.01.12,2022 LoL 챔피언스 코리아 스프링 정규 시즌 1일차 1경기 2세트,DRX Kingen,그레이브즈,패,1,2,5
129,22.01.12,2022 LoL 챔피언스 코리아 스프링 정규 시즌 1일차 1경기 1세트,DRX Kingen,그레이브즈,패,0,5,1
