,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
104,22.02.27,2022 LoL 챔피언스 코리아 스프링 정규 시즌 30일차 1경기 1세트,DRX Zeka,오리아나,패,2,3,2
105,22.02.24,2022 LoL 챔피언스 코리아 스프링 정규 시즌 27일차 1경기 3세트,DRX Zeka,리산드라,승,2,2,9
106,22.02.24,2022 LoL 챔피언스 코리아 스프링 정규 시즌 27일차 1경기 2세트,DRX Zeka,조이,패,2,1,6
107,22.02.24,2022 LoL 챔피언스 코리아 스프링 정규 시즌 27일차 1경기 1세트,DRX Zeka,트린다미어,승,3,0,3
108,22.02.19,2022 LoL 챔피언스 코리아 스프링 정규 시즌 24일차 1경기 2세트,DRX Zeka,르블랑,패,0,2,2
109,22.02.19,2022 LoL 챔피언스 코리아 스프링 정규 시즌 24일차 1경기 1세트,DRX Zeka,르블랑,패,3,2,1
110,22.02.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 22일차 2경기 3세트,DRX Zeka,아리,승,1,2,5
111,22.02.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 22일차 2경기 2세트,DRX Zeka,르블랑,승,1,0,3
112,22.02.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 22일차 2경기 1세트,DRX Zeka,아리,패,0,2,2
113,22.02.11,2022 LoL 챔피언스 코리아 스프링 정규 시즌 18일차 2경기 3세트,DRX Zeka,아칼리,승,2,0,7
114,22.02.11,2022 LoL 챔피언스 코리아 스프링 정규 시즌 18일차 2경기 2세트,DRX Zeka,야스오,패,2,0,3
115,22.02.11,2022 LoL 챔피언스 코리아 스프링 정규 시즌 18일차 2경기 1세트,DRX Zeka,조이,승,2,2,5
116,22.02.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 16일차 2경기 3세트,DRX Zeka,트위스티드 페이트,승,2,0,5
117,22.02.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 16일차 2경기 2세트,DRX Zeka,빅토르,패,0,4,8
118,22.01.29,2022 LoL 챔피언스 코리아 스프링 정규 시즌 14일차 2경기 2세트,DRX Zeka,코르키,승,7,1,5
119,22.01.29,2022 LoL 챔피언스 코리아 스프링 정규 시즌 14일차 2경기 1세트,DRX Zeka,코르키,승,4,3,8
120,22.01.26,2022 LoL 챔피언스 코리아 스프링 정규 시즌 11일차 2경기 1세트,DRX Zeka,빅토르,승,4,1,7
121,22.01.26,2022 LoL 챔피언스 코리아 스프링 정규 시즌 11일차 2경기 2세트,DRX Zeka,르블랑,승,3,2,3
122,22.01.23,2022 LoL 챔피언스 코리아 스프링 정규 시즌 10일차 2경기 1세트,DRX Zeka,아칼리,승,4,0,1
123,22.01.23,2022 LoL 챔피언스 코리아 스프링 정규 시즌 10일차 2경기 2세트,DRX Zeka,빅토르,승,1,0,11
124,22.01.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 7일차 1경기 2세트,DRX Zeka,벡스,패,3,2,4
125,22.01.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 7일차 1경기 1세트,DRX Zeka,코르키,패,0,2,7
126,22.01.14,2022 LoL 챔피언스 코리아 스프링 정규 시즌 3일차 1경기 2세트,DRX Zeka,르블랑,패,3,1,2
127,22.01.14,2022 LoL 챔피언스 코리아 스프링 정규 시즌 3일차 1경기 1세트,DRX Zeka,빅토르,패,0,2,0
128,22.01.12,2022 LoL 챔피언스 코리아 스프링 정규 시즌 1일차 1경기 2세트,DRX Zeka,라이즈,패,1,2,5
129,22.01.12,2022 LoL 챔피언스 코리아 스프링 정규 시즌 1일차 1경기 1세트,DRX Zeka,라이즈,패,0,2,0
