,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
110,22.02.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 22일차 2경기 2세트,DRX Deft,징크스,승,3,0,3
111,22.02.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 22일차 2경기 1세트,DRX Deft,아펠리오스,패,1,1,2
112,22.02.11,2022 LoL 챔피언스 코리아 스프링 정규 시즌 18일차 2경기 3세트,DRX Deft,제리,승,10,2,4
113,22.02.11,2022 LoL 챔피언스 코리아 스프링 정규 시즌 18일차 2경기 2세트,DRX Deft,아펠리오스,패,5,3,2
114,22.02.11,2022 LoL 챔피언스 코리아 스프링 정규 시즌 18일차 2경기 1세트,DRX Deft,진,승,8,0,6
115,22.02.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 16일차 2경기 3세트,DRX Deft,징크스,승,5,0,4
116,22.02.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 16일차 2경기 2세트,DRX Deft,세나,패,5,3,8
117,22.02.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 16일차 2경기 1세트,DRX Deft,아펠리오스,승,5,1,5
118,22.01.29,2022 LoL 챔피언스 코리아 스프링 정규 시즌 14일차 2경기 2세트,DRX Deft,징크스,승,6,2,4
119,22.01.29,2022 LoL 챔피언스 코리아 스프링 정규 시즌 14일차 2경기 1세트,DRX Deft,징크스,승,10,2,5
120,22.01.26,2022 LoL 챔피언스 코리아 스프링 정규 시즌 11일차 2경기 1세트,DRX Deft,아펠리오스,승,3,1,8
121,22.01.26,2022 LoL 챔피언스 코리아 스프링 정규 시즌 11일차 2경기 2세트,DRX Deft,아펠리오스,승,7,0,2
122,22.01.23,2022 LoL 챔피언스 코리아 스프링 정규 시즌 10일차 2경기 1세트,DRX Deft,징크스,승,1,1,5
123,22.01.23,2022 LoL 챔피언스 코리아 스프링 정규 시즌 10일차 2경기 2세트,DRX Deft,아펠리오스,승,7,0,6
124,22.01.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 7일차 1경기 2세트,DRX Deft,직스,패,0,2,5
125,22.01.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 7일차 1경기 1세트,DRX Deft,아펠리오스,패,0,4,7
126,22.01.14,2022 LoL 챔피언스 코리아 스프링 정규 시즌 3일차 1경기 2세트,DRX Deft,아펠리오스,패,3,6,2
127,22.01.14,2022 LoL 챔피언스 코리아 스프링 정규 시즌 3일차 1경기 1세트,DRX Deft,케이틀린,패,1,2,0
128,22.01.12,2022 LoL 챔피언스 코리아 스프링 정규 시즌 1일차 1경기 2세트,DRX Deft,아펠리오스,패,1,5,2
129,22.01.12,2022 LoL 챔피언스 코리아 스프링 정규 시즌 1일차 1경기 1세트,DRX Deft,아펠리오스,패,3,2,2
